场景ID,定价模式,平均成功率,测试次数,平均价格偏离率,平均剩余分配公平度,平均期望收敛效率,平均Gas消耗,平均匹配时间
L1,BASELINE,0.9333333333333333,60,0.0585405064155897,0.8804222354954648,-2.084927708050596,697357.0666666667,0.09470166666666667
L1,NASH,1.0,30,0.0950988562085235,0.9999950136985408,-6.260685195124258,688633.2,0.08489
L1,STATIC,1.0,30,7.603406071022492e-07,0.6869079934182156,-1.3649201138562033,687887.6,0.08525
L2,BASELINE,0.9833333333333333,60,0.05210437034209058,0.8631986082917459,-1.642032478333008,699390.1166666667,0.10360833333333333
L2,NASH,1.0,30,0.12359258142706363,0.9999969017809108,-0.44866130015098427,688630.2666666667,0.07962666666666667
L2,STATIC,0.9666666666666667,30,9.100969741173111e-07,-0.3605517135702571,-2.2296929324899537,686802.8,0.07957333333333333
M1,BASELINE,1.0,60,0.06238394934974347,0.8263191850459548,-0.9373001592007134,700192.5,0.100235
M1,NASH,0.9666666666666667,30,0.13037816315975573,0.9999692738185122,-2.7136992559930757,687520.6666666666,0.08440666666666667
M1,STATIC,0.9,30,1.2587564939312149e-06,0.5616933611684447,-1.490177079463989,684828.4666666667,0.08299333333333332
M2,BASELINE,1.0,60,0.06430825263970706,0.8109704854504177,-2.6739445875250794,700448.6333333333,0.10168166666666667
M2,NASH,0.9666666666666667,30,0.12473221430875871,0.9999922895774371,-0.981370588054272,687523.0666666667,0.08349999999999999
M2,STATIC,0.9333333333333333,30,1.22101837712833e-06,0.581563089485709,-1.5565289200418138,686115.8666666667,0.08259666666666667
S1,BASELINE,0.9833333333333333,60,0.06941202775462779,0.8194374212820125,-0.8358183695953879,679059.5833333334,0.11275166666666667
S1,NASH,0.9666666666666667,30,0.11391923935947226,0.9999927589377661,-2.6634773083147105,667603.2,0.08924666666666667
S1,STATIC,1.0,30,4.864623731193958e-07,0.6520171112478264,-3.869181195244017,667973.3333333334,0.09033333333333333
S2,BASELINE,1.0,60,0.07687474309271156,0.8256022012541938,-0.7677107503243851,680182.6333333333,0.10101833333333333
S2,NASH,1.0,30,0.12299395704951124,0.9999971152487368,-0.9075306455525062,668718.8,0.08756
S2,STATIC,0.9666666666666667,30,3.9792751878638895e-07,0.5730673625355078,-1.4223548449909156,666885.2,0.08490666666666667
